SITE_NAME	SUB_SITE	DATE_OBS	TIME_OBS	TREE_ID	SPECIES	SAPFLOW_RATE	CRTFCN_CODE	REVISION_DATE
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	330	3	Pinus banksiana'	.006	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	345	1	Pinus banksiana'	.002	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	345	3	Pinus banksiana'	.004	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	345	2	Pinus banksiana'	.004	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	400	1	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	400	2	Pinus banksiana'	.004	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	400	3	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	415	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	415	3	Pinus banksiana'	.002	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	415	2	Pinus banksiana'	.004	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	430	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	430	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	430	2	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	445	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	445	2	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	445	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	500	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	500	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	500	2	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	515	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	515	2	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	515	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	530	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	530	2	Pinus banksiana'	.003	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	530	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	545	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	545	3	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	545	2	Pinus banksiana'	.004	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	600	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	600	2	Pinus banksiana'	.006	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	600	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	615	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	615	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	615	2	Pinus banksiana'	.006	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	630	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	630	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	630	2	Pinus banksiana'	.006	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	645	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	645	2	Pinus banksiana'	.006	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	645	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	700	1	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	700	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	700	2	Pinus banksiana'	.007	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	715	1	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	715	2	Pinus banksiana'	.007	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	715	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	730	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	730	2	Pinus banksiana'	.007	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	730	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	745	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	745	3	Pinus banksiana'	.001	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	745	2	Pinus banksiana'	.007	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	800	1	Pinus banksiana'	0.0	CPI'	14-SEP-1998
SSA-OJP-FLXTR'	9TE11-SAP01'	25-AUG-1993	800	2	Pinus banksiana'	.007	CPI'	14-SEP-1998
