"","centre","reduire"
"NETRAD_1h30",109.514192388373,200.441501689857
"P",0.0688342822894813,0.410620456786983
"PA_3h",97.7750839077014,0.582862667078799
"PPFD_DIF_1h",158.773879652036,204.058628611593
"PPFD_IN_1h",307.764675941226,432.609505754832
"PPFD_OUT_1h",12.7318375754546,17.4272702705226
"RH_3h",74.8815208270902,17.0267252139359
"SW_IN_1h",177.493979622415,250.101672332277
"SW_OUT_30m",27.1481330536411,35.2282754053309
"TA",14.3664617795438,6.00349314079266
"TS",13.0104932574169,2.93521059082577
"TS_2",12.9579096419206,2.81052523458657
"TS_3",12.8246520461239,2.61116033158688
"WD_1h30",179.482026703365,89.3046388814615
"WS",1.81365282034451,0.935469373055331
"CO2_3h",409.653875639937,19.2224547723973
"FC_3h",-2.84170984069019,8.85479453303303
"H_1h30",11.3877249792301,64.7588773304538
"H2O_3h",12.0160768777493,3.02965970567202
"LE_30m",39.7628782384264,70.0225897349815
"SB",1.06455656675706,6.9622476544534
"SC",0.0275454991386254,3.25746557613808
"SH_3h",-0.0744543650941526,9.03141789997946
"SLE_3h",-5.02056009797955,75.5166056922674
"TAU_30m",0.23760029194942,0.363686669255047
"USTAR_30m",0.37255942130323,0.254584840979235
"ZL",-0.0404200026494299,3.48241282252389
"G",1.06170287683548,6.02757334308956
"VPD",0.524547076351075,0.543648815876414
