solar_time,sap_flow_predit
23/10/17 00:00,0.198689351228247
23/10/17 00:30,0.127249286654741
23/10/17 01:00,0.0931655842811611
23/10/17 01:30,0.0658566612548447
23/10/17 02:00,0.0395665234210649
23/10/17 02:30,0.0246532625224659
23/10/17 03:00,0.00267215518830566
23/10/17 03:30,0.0167069436773746
23/10/17 04:00,0.0688908594264125
23/10/17 04:30,0.179808179638921
23/10/17 05:00,0.360021142190199
23/10/17 05:30,0.607589172637643
23/10/17 06:00,1.00257279151953
23/10/17 06:30,1.38955674916164
23/10/17 07:00,1.88652199461849
23/10/17 07:30,2.22513115953921
23/10/17 08:00,2.91193212847883
23/10/17 08:30,3.40003885461625
23/10/17 09:00,3.99090435937279
23/10/17 09:30,4.43123133305262
23/10/17 10:00,4.75638813998088
23/10/17 10:30,5.09648777128764
23/10/17 11:00,5.32651849843352
23/10/17 11:30,5.55665175773347
23/10/17 12:00,5.72626986026309
23/10/17 12:30,5.56415219210139
23/10/17 13:00,5.37197803101425
23/10/17 13:30,5.20765917198777
23/10/17 14:00,5.01414095753598
23/10/17 14:30,4.77828417873311
23/10/17 15:00,4.47061948766596
23/10/17 15:30,4.10193359756299
23/10/17 16:00,3.6962175109512
23/10/17 16:30,3.3003694457339
23/10/17 17:00,2.78692914685101
23/10/17 17:30,2.28587634888984
23/10/17 18:00,1.83148864574408
23/10/17 18:30,1.45917860200832
23/10/17 19:00,1.07923691925073
23/10/17 19:30,0.789463744214379
23/10/17 20:00,0.681174003582931
23/10/17 20:30,0.596263548765678
23/10/17 21:00,0.523616686996314
23/10/17 21:30,0.450023062643656
23/10/17 22:00,0.362801152644466
23/10/17 22:30,0.329963812339716
23/10/17 23:00,0.283205483857458
23/10/17 23:30,0.249807371643558
