X,factMultMin,factMultMax,step,minVal,maxVal
P_1h,0,4,1,0,4
PPFD_IN_1h,0,1.5,0.25,0,1600
TS,0.5,1.5,0.25,6,19
WD_1h30,0,2,0.5,0,360
WS,0,2,0.5,0,6
CO2,0.95,1.05,0.025,390,450
LE_30m,0,3,0.5,-10,400
SB,0,2,0.5,-15,20
SH_3h,0,4,1,-60,60
USTAR_30m,0,2,0.5,0,1.5
ZL_3h,0,5,1,-50,10
VPD,0,2,0.5,0,3
