"","heure_solaire","mois","SAP_FLOW"
"104",2017-10-23 03:30:00,"06",0.02931169483
"105",2017-10-23 04:00:00,"06",0.03597587877
"106",2017-10-23 04:30:00,"06",0.06414520504
"107",2017-10-23 05:00:00,"06",0.188407742813333
"108",2017-10-23 05:30:00,"06",0.5305878383
"109",2017-10-23 06:00:00,"06",1.07016883606333
"110",2017-10-23 06:30:00,"06",1.74694791411667
"111",2017-10-23 07:00:00,"06",2.69836528551667
"112",2017-10-23 07:30:00,"06",3.68454307686
"113",2017-10-23 08:00:00,"06",4.60709197266
"114",2017-10-23 08:30:00,"06",5.57766736883333
"115",2017-10-23 09:00:00,"06",6.15872211139333
"116",2017-10-23 09:30:00,"06",6.62595600739
"117",2017-10-23 10:00:00,"06",6.84391469717
"118",2017-10-23 10:30:00,"06",7.08838510745
"119",2017-10-23 11:00:00,"06",7.34210613357667
"120",2017-10-23 11:30:00,"06",7.47679462137667
"121",2017-10-23 12:00:00,"06",7.11965042285
"122",2017-10-23 12:30:00,"06",7.08090916241
"123",2017-10-23 13:00:00,"06",6.84531492274
"124",2017-10-23 13:30:00,"06",6.56159047979333
"125",2017-10-23 14:00:00,"06",6.36456888388333
"126",2017-10-23 14:30:00,"06",5.81778176758333
"127",2017-10-23 15:00:00,"06",5.335298786
"128",2017-10-23 15:30:00,"06",5.07836560360333
"129",2017-10-23 16:00:00,"06",4.56356437867667
"130",2017-10-23 16:30:00,"06",3.79278499953333
"131",2017-10-23 17:00:00,"06",3.03399461051
"132",2017-10-23 17:30:00,"06",2.25573524179333
"133",2017-10-23 18:00:00,"06",1.51682555518667
"134",2017-10-23 18:30:00,"06",0.904879952233333
"135",2017-10-23 19:00:00,"06",0.5154044362
"136",2017-10-23 19:30:00,"06",0.30829878618
"137",2017-10-23 20:00:00,"06",0.197493479866667
"138",2017-10-23 20:30:00,"06",0.13707908046
"139",2017-10-23 21:00:00,"06",0.102036860343333
"140",2017-10-23 21:30:00,"06",0.0797742269466667
"141",2017-10-23 22:00:00,"06",0.06677168014
"142",2017-10-23 22:30:00,"06",0.0568286358033333
"143",2017-10-23 23:00:00,"06",0.04462557288
"144",2017-10-23 23:30:00,"06",0.0322787353466667
"145",2017-10-23 00:00:00,"07",0.0606333737870968
"146",2017-10-23 00:30:00,"07",0.0526223196096774
"147",2017-10-23 01:00:00,"07",0.0487004935870968
"148",2017-10-23 01:30:00,"07",0.0464867151419355
"149",2017-10-23 02:00:00,"07",0.0454204703483871
"150",2017-10-23 02:30:00,"07",0.0444412786129032
"151",2017-10-23 03:00:00,"07",0.0461470115741935
"152",2017-10-23 03:30:00,"07",0.051321720216129
"153",2017-10-23 04:00:00,"07",0.062421605383871
"154",2017-10-23 04:30:00,"07",0.109894704906452
"155",2017-10-23 05:00:00,"07",0.321741910590323
"156",2017-10-23 05:30:00,"07",0.834217312167742
"157",2017-10-23 06:00:00,"07",1.65734389150323
"158",2017-10-23 06:30:00,"07",2.74486286319355
"159",2017-10-23 07:00:00,"07",3.87625313123226
"160",2017-10-23 07:30:00,"07",4.71856457351613
"161",2017-10-23 08:00:00,"07",5.44460299581935
"162",2017-10-23 08:30:00,"07",6.07257033652581
"163",2017-10-23 09:00:00,"07",6.55727832013226
"164",2017-10-23 09:30:00,"07",6.7771448311871
"165",2017-10-23 10:00:00,"07",7.04014770920323
"166",2017-10-23 10:30:00,"07",7.12766166082581
"167",2017-10-23 11:00:00,"07",7.30358403248064
"168",2017-10-23 11:30:00,"07",7.51987058144839
"169",2017-10-23 12:00:00,"07",7.37426080071613
"170",2017-10-23 12:30:00,"07",7.16175681815484
"171",2017-10-23 13:00:00,"07",7.17639764628065
"172",2017-10-23 13:30:00,"07",6.7343882607871
"173",2017-10-23 14:00:00,"07",6.3875741905129
"174",2017-10-23 14:30:00,"07",6.06381125556452
"175",2017-10-23 15:00:00,"07",5.77355093170323
"176",2017-10-23 15:30:00,"07",5.53172538832581
"177",2017-10-23 16:00:00,"07",4.91448522308387
"178",2017-10-23 16:30:00,"07",4.40977076012581
"179",2017-10-23 17:00:00,"07",3.76696416065806
"180",2017-10-23 17:30:00,"07",2.91652137280323
"181",2017-10-23 18:00:00,"07",1.95813927555161
"182",2017-10-23 18:30:00,"07",1.15338810195806
"183",2017-10-23 19:00:00,"07",0.653403147667742
"184",2017-10-23 19:30:00,"07",0.400648416548387
"185",2017-10-23 20:00:00,"07",0.275015547593548
"186",2017-10-23 20:30:00,"07",0.20399240613871
"187",2017-10-23 21:00:00,"07",0.158976093254839
"188",2017-10-23 21:30:00,"07",0.1282969259
"189",2017-10-23 22:00:00,"07",0.108103579012903
"190",2017-10-23 22:30:00,"07",0.0906107547612903
"191",2017-10-23 23:00:00,"07",0.0789441833580645
"192",2017-10-23 23:30:00,"07",0.0680138015516129
"193",2017-10-23 00:00:00,"08",0.0911117522258064
"194",2017-10-23 00:30:00,"08",0.0938148578580645
"195",2017-10-23 01:00:00,"08",0.0950702820645161
"196",2017-10-23 01:30:00,"08",0.0970308498483871
"197",2017-10-23 02:00:00,"08",0.105394384877419
"198",2017-10-23 02:30:00,"08",0.112408499093548
"199",2017-10-23 03:00:00,"08",0.119745027709677
"200",2017-10-23 03:30:00,"08",0.120756664054839
"201",2017-10-23 04:00:00,"08",0.1213183733
"202",2017-10-23 04:30:00,"08",0.138723036441935
"203",2017-10-23 05:00:00,"08",0.219622508816129
"204",2017-10-23 05:30:00,"08",0.382194818751613
"205",2017-10-23 06:00:00,"08",0.657696195583871
"206",2017-10-23 06:30:00,"08",1.23278236336452
"207",2017-10-23 07:00:00,"08",1.86096701474194
"208",2017-10-23 07:30:00,"08",2.58633567051613
"209",2017-10-23 08:00:00,"08",3.40995686803871
"210",2017-10-23 08:30:00,"08",4.18581406815161
"211",2017-10-23 09:00:00,"08",4.69480985812581
"212",2017-10-23 09:30:00,"08",5.24895346955161
"213",2017-10-23 10:00:00,"08",5.61677377708387
"214",2017-10-23 10:30:00,"08",5.92646354164516
"215",2017-10-23 11:00:00,"08",6.28282371607742
"216",2017-10-23 11:30:00,"08",6.16709512875484
"217",2017-10-23 12:00:00,"08",6.01851785769355
"218",2017-10-23 12:30:00,"08",5.88283944618065
"219",2017-10-23 13:00:00,"08",5.60780871675484
"220",2017-10-23 13:30:00,"08",5.38305027582581
"221",2017-10-23 14:00:00,"08",5.2549566993129
"222",2017-10-23 14:30:00,"08",5.06678951004839
"223",2017-10-23 15:00:00,"08",4.72211378694839
"224",2017-10-23 15:30:00,"08",4.14692593327419
"225",2017-10-23 16:00:00,"08",3.58032906564194
"226",2017-10-23 16:30:00,"08",2.90480895065161
"227",2017-10-23 17:00:00,"08",2.11775271417419
"228",2017-10-23 17:30:00,"08",1.40102833622903
"229",2017-10-23 18:00:00,"08",0.854353276529032
"230",2017-10-23 18:30:00,"08",0.517930773222581
"231",2017-10-23 19:00:00,"08",0.345839629735484
"232",2017-10-23 19:30:00,"08",0.255157905270968
"233",2017-10-23 20:00:00,"08",0.199011082951613
"234",2017-10-23 20:30:00,"08",0.16292184916129
"235",2017-10-23 21:00:00,"08",0.138684056787097
"236",2017-10-23 21:30:00,"08",0.124237492022581
"237",2017-10-23 22:00:00,"08",0.117166282441935
"238",2017-10-23 22:30:00,"08",0.109206402612903
"239",2017-10-23 23:00:00,"08",0.108410448583871
"240",2017-10-23 23:30:00,"08",0.0874901916064516
"241",2017-10-23 00:00:00,"09",0.0580991717311111
"242",2017-10-23 00:30:00,"09",0.0577997281744445
"243",2017-10-23 01:00:00,"09",0.0600113033385185
"244",2017-10-23 01:30:00,"09",0.0643714585303704
"245",2017-10-23 02:00:00,"09",0.0668353872011111
"246",2017-10-23 02:30:00,"09",0.0710818347581482
"247",2017-10-23 03:00:00,"09",0.0783987164622222
"248",2017-10-23 03:30:00,"09",0.0920328340244445
"249",2017-10-23 04:00:00,"09",0.104004389864815
"250",2017-10-23 04:30:00,"09",0.103207838724074
"251",2017-10-23 05:00:00,"09",0.0905738116488889
"252",2017-10-23 05:30:00,"09",0.0946035966848148
"253",2017-10-23 06:00:00,"09",0.141048253927407
"254",2017-10-23 06:30:00,"09",0.259876480138518
"255",2017-10-23 07:00:00,"09",0.498194269807407
"256",2017-10-23 07:30:00,"09",0.914024046304815
"257",2017-10-23 08:00:00,"09",1.65239240123741
