tps;NETRAD_1havant;PPFD_IN_1havant;RH;SW_IN_1havant;TA;FC_1havant;H_1havant;LE;SB;G;VPD;FDS
15:00:00;220,2241791045;575,2658706468;62,1482089552;323,1378109453;17,4650248756;-8,9332323232;42,24735;69,6116666667;5,549800995;4,4972885572;0,9134479439;3,5145300268
15:30:00;180,6017412935;494,4554228856;63,184278607;277,2539303483;17,2820895522;-7,9116;30,16015;52,3515591398;4,7662189055;3,8595522388;0,8825564063;3,0546911826
16:00:00;138,4349253731;413,1882587065;64,4190049751;229,6377114428;16,953681592;-6,8036;16,60875;36,4582258065;3,8612437811;3,1694776119;0,8405968452;2,5980440936
16:30:00;98,9473134328;337,9432835821;65,9119402985;185,2530348259;16,5973631841;-5,5712060302;6,783718593;25,0927272727;2,9458;2,4289552239;0,7964923303;2,192138248
17:00:00;54,294079602;247,4647263682;68,063681592;133,0539303483;16,1784577114;-3,8992;-3,7040201005;13,5172192513;1,9800995025;1,745199005;0,7338283782;1,6873189564
17:30:00;18,9479104478;167,9568159204;70,1170646766;89,9099502488;15,7217412935;-1,96075;-14,13385;6,4237634409;1,2032338308;1,1702487562;0,6654567016;1,2442148594
18:00:00;-6,7327363184;104,2260199005;72,1604477612;56,3261691542;15,2120895522;-0,8773;-18,91295;1,7221621622;0,5066666667;0,6374875622;0,5963873049;0,8834744988
18:30:00;-26,554278607;55,4521890547;74,0485074627;29,6952238806;14,7376616915;0,5661;-25,5632;1,2214594595;-0,2357711443;0,0808955224;0,5365266524;0,6243671911
19:00:00;-38,7853731343;23,1601492537;76,3929850746;11,2938308458;14,2076616915;1,2744;-25,3361616162;1,0852150538;-0,8956218905;-0,413681592;0,4603084004;0,4069609346
19:30:00;-42,504278607;6,66960199;78,5517412935;1,8758706468;13,715920398;1,8032;-29,3365;0,6464516129;-1,5087064677;-0,8618159204;0,3953651868;0,2729896026
20:00:00;-43,1045771144;0,7995024876;79,4037313433;-1,229800995;13,4114925373;2,3094974874;-29,2247738693;0,4062365591;-2,0267661692;-1,2453731343;0,3703324842;0,1956350028
20:30:00;-42,17005;0,0443;80,11165;-1,53465;13,1952;3,052979798;-31,2938383838;0,7079569892;-2,35555;-1,5384;0,3485287397;0,1551151199
21:00:00;-40,6570149254;0,0195024876;80,910199005;-1,348358209;12,9111442786;3,4155778894;-33,33885;0,0925806452;-2,714278607;-1,8419651741;0,3269551102;0,1183146166
21:30:00;-38,8583084577;0,0213432836;81,6475621891;-1,2622885572;12,6449253731;3,6774242424;-33,3212;0,3697282609;-2,9967164179;-2,1022636816;0,3067552659;0,0904352432
22:00:00;-37,9031343284;0,0205970149;82,5702487562;-1,2271641791;12,3522885572;3,8131;-32,9959;0,1539673913;-3,3100995025;-2,3630099502;0,2831670148;0,0538684735
22:30:00;-37,3387562189;0,0213432836;83,0414925373;-1,27;12,179800995;4,20935;-32,5224;-0,4671351351;-3,6059701493;-2,6227363184;0,2744549085;0,0197907523
23:00:00;-36,4349748744;0,0185427136;83,5448241206;-1,2259296482;11,9982914573;4,1951515152;-33,0226767677;-0,3791803279;-3,8792462312;-2,8358040201;0,2634268453;0,0084136974
23:30:00;-35,6607960199;0,0168159204;84,004278607;-1,1647263682;11,8665174129;3,4489;-28,9491;0,1117837838;-4,0513432836;-3,0105721393;0,2527702423;0,0167925593
