heure_solaire,mois,SAP_FLOW
00:00,4,0.31881505615
00:30,4,0.28515287605
01:00,4,0.25466618325
01:30,4,0.22504004445
02:00,4,0.1947441567
02:30,4,0.17770599815
03:00,4,0.1657596468
03:30,4,0.1496174995
04:00,4,0.1403961274
04:30,4,0.15713769695
05:00,4,0.2649154123
05:30,4,0.5984109869
06:00,4,1.18384578355
06:30,4,1.4332325514
07:00,4,1.83233582015
07:30,4,2.24529859725
08:00,4,2.4285976066
08:30,4,2.4959087786
09:00,4,2.4278207534
09:30,4,2.4388664845
10:00,4,2.74807362667037
10:30,4,3.11921616401111
11:00,4,3.07402614570741
11:30,4,2.98142268988889
12:00,4,2.88937782462963
12:30,4,2.85098114074074
13:00,4,2.85348074857778
13:30,4,2.83531250304074
14:00,4,2.58831257472593
14:30,4,2.32851639046296
15:00,4,2.17839471165556
15:30,4,2.05573691682593
16:00,4,1.89455455517778
16:30,4,1.61508182502222
17:00,4,1.40138678805556
17:30,4,1.14364495652963
18:00,4,0.902411609855557
18:30,4,0.744227601511111
19:00,4,0.639059543203704
19:30,4,0.553647749877778
20:00,4,0.494332955525926
20:30,4,0.45779194237037
21:00,4,0.4563671103
21:30,4,0.456322817466667
22:00,4,0.433748224766667
22:30,4,0.380397818733333
23:00,4,0.4574415552
23:30,4,0.36104256615
00:00,5,0.0360144689645161
00:30,5,0.0359444178064516
01:00,5,0.0367906329806452
01:30,5,0.0374833962096774
02:00,5,0.0413790503290323
02:30,5,0.0414023324516129
03:00,5,0.0427133598967742
03:30,5,0.0430108297064516
04:00,5,0.0463878174258065
04:30,5,0.0588988653290323
05:00,5,0.0880895701903226
05:30,5,0.148171061048387
06:00,5,0.258084010632258
06:30,5,0.457547125206452
07:00,5,0.750201782816129
07:30,5,1.06165293308387
08:00,5,1.46731314774839
08:30,5,1.97906285803871
09:00,5,2.35562785749355
09:30,5,2.64573907305806
10:00,5,2.73776622192903
10:30,5,2.87739148479032
11:00,5,3.01257436376452
11:30,5,2.92405499055806
12:00,5,2.69083640072581
12:30,5,2.38443729390968
13:00,5,2.22168846400645
13:30,5,2.18793497816452
14:00,5,2.14509922354194
14:30,5,2.03632183914516
15:00,5,1.96622273585161
15:30,5,1.78756036911613
16:00,5,1.6266709136871
16:30,5,1.41832208781935
17:00,5,1.08730811014839
17:30,5,0.800359059996774
18:00,5,0.53034353863871
18:30,5,0.335960698493548
19:00,5,0.223278542412903
19:30,5,0.155947582270968
20:00,5,0.116072071748387
20:30,5,0.0940826825516129
21:00,5,0.0797794747354839
